,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
91,Lincoln,(2012),7,150.0,7.3,86.0,261332.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
92,Lo que el viento se llevó,(1939),A,238.0,8.2,97.0,315779.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
93,Los Tudor,(2007–2010),18,60.0,8.1,NaN,75430.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
94,Los archivos del Pentágono,(2017),7,116.0,7.2,83.0,151767.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
95,Los héroes de Hogan,(1965–1971),,25.0,7.8,NaN,10700.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,Los mejores años de nuestra vida,(1946),A,170.0,8.1,93.0,65017.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
97,Los pilares de la Tierra,(2010),,60.0,8.0,NaN,31404.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
98,M*A*S*H,(1970),18,116.0,7.4,80.0,73667.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
99,M*A*S*H,(1972–1983),13,25.0,8.4,NaN,57767.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
100,Malditos bastardos,(2009),18,153.0,8.3,69.0,1438612.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
101,Malena,(2000),13,108.0,7.4,54.0,103482.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
