,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,ANIMATION,C,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,MYSTERY,ROMANCE,S,SCI-FI,SHORT,THRILLER
111,La naranja mecánica,(1971),(Banned),136.0,8.3,77.0,827579.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
112,La niebla,(2007),18,126.0,7.1,58.0,312449.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
113,Las vidas posibles de Mr. Nobody,(2009),16,141.0,7.8,63.0,234067.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
114,Life (Vida),(I) (2017),12,104.0,6.6,54.0,232039.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
115,Liga de la Justicia,(2017),7,120.0,6.1,45.0,452585.0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
116,Lightyear,(2022),A/i,100.0,6.0,60.0,101009.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Logan,(2017),16,137.0,8.1,77.0,759285.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
118,Loki,(2021– ),12,53.0,8.2,NaN,312965.0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
119,Los 100,(2014–2020),16,43.0,7.6,NaN,251028.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
120,Los Cazafantasmas,(1984),A,105.0,7.8,71.0,415739.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
121,Los Imperfectos,(2022),16,45.0,6.4,NaN,5132.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Los Vengadores,(2012),7,143.0,8.0,69.0,1385704.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
123,Los juegos del hambre,(2012),12,142.0,7.2,68.0,916385.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
