,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
95,It,(1990),13,192.0,6.8,NaN,129947.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
96,It Follows,(2014),16,100.0,6.8,83.0,243631.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
97,Jaula,(2022),16,106.0,6.0,NaN,3770.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
98,Jeepers Creepers: Reborn,(2022),R,88.0,2.5,NaN,7151.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
99,Justified: La ley de Raylan,(2010–2015),16,44.0,8.6,NaN,100828.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,Karen Pirie,(2022– ),,120.0,7.6,NaN,2983.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
101,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102,La Brea,(2021– ),,NaN,5.7,NaN,11343.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
103,La bruja,(2015),16,92.0,6.9,83.0,262688.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
104,La cabaña en el bosque,(2011),16,95.0,7.0,72.0,418961.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
105,La casa de papel,(2017–2021),16,70.0,8.2,NaN,474328.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,La chica que lo tenía todo,(2022),16,113.0,6.4,54.0,38194.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
107,La chica salvaje,(2022),12,125.0,7.1,43.0,52328.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
108,La cosa (El enigma de otro mundo),(1982),13,109.0,8.2,57.0,424771.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
109,La dimensión desconocida,(1959–1964),13,51.0,9.1,NaN,83671.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
110,La guerra de los mundos,(2019– ),12,49.0,6.4,NaN,14379.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
111,La huérfana: primer asesinato,(2022),16,99.0,5.9,54.0,29464.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
112,La llegada,(II) (2016),7,116.0,7.9,81.0,691334.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
113,La maldición de Bly Manor,(2020),16,494.0,7.3,NaN,105585.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
114,La maldición de Hill House,(2018),16,572.0,8.6,NaN,243858.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
115,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
