,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,L,M,MUSIC,MUSICAL,ROMANCE,SCI-FI,SHORT,SPORT,WESTERN
130,"Las crónicas de Narnia: El león, la bruja y el armario",(2005),7,143.0,6.9,75.0,398145.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
131,Las frikiaventuras de James y Max,(2022– ),,20.0,6.5,NaN,635.0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,Lightyear,(2022),A/i,100.0,6.0,60.0,99619.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2000.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Lopez vs. Lopez,(2022– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
135,Los Goonies,(1985),A,114.0,7.7,62.0,273795.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
136,Los Increíbles,(2004),A,115.0,8.0,90.0,733108.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,Los Muppets en Haunted Mansion,(2021 TV Special),,52.0,6.4,NaN,6965.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
138,Los Walton,(1972–1981),,60.0,7.6,NaN,7872.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
139,Los descendientes,(2015 TV Movie),,112.0,6.2,NaN,20863.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
140,Los minions,(2015),A,91.0,6.4,56.0,239390.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,Los mundos de Coraline,(2009),7,100.0,7.7,80.0,229291.0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
