,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
73,El amor está en el aire,(1992),T,94.0,7.2,72.0,27950.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,El bar Coyote,(2000),13,100.0,5.7,27.0,115937.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
75,El chico ideal,(1998),PG-13,97.0,6.9,59.0,151627.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
76,El fantasma del Paraíso,(1974),,91.0,7.3,67.0,19818.0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,El guardaespaldas,(1992),13,129.0,6.3,39.0,135788.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
78,El pianista,(2002),13,150.0,8.5,85.0,827608.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
79,El piano,(1993),13,121.0,7.5,89.0,89208.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
80,El ritmo del éxito,(2000),A,115.0,6.6,52.0,21811.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
81,El último dragón,(1985),13,109.0,6.8,58.0,16128.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,Elvis,(2022),12,159.0,7.4,64.0,144533.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
83,Empire,(2015–2020),12,42.0,7.4,NaN,39611.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
84,Empire Records,(1995),13,90.0,6.7,30.0,56428.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
85,En la cuerda floja,(2005),18,136.0,7.8,72.0,251994.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
86,Entergalactic,(2022),16,93.0,7.4,NaN,7942.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
87,Escuela de rock,(2003),A,109.0,7.2,82.0,306834.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
88,Espera al último baile,(2001),A,112.0,6.2,53.0,62938.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
