,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,O,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR
82,El viaje a París de la señora Harris,(2022),PG,115.0,7.1,70.0,8974.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,Elf,(2003),A,97.0,7.0,64.0,267060.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,Encantada: La historia de Giselle,(2007),7,107.0,7.1,75.0,200403.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,Encanto,(2021),A/i/fig,102.0,7.2,75.0,218363.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Entourage (El séquito),(2004–2011),18,28.0,8.5,NaN,169461.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Escondidos en Brujas,(2008),18,107.0,7.9,67.0,426427.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,Escuela de jóvenes asesinos,(1988),18,103.0,7.2,72.0,105371.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Fantasmas,(2019– ),TP,30.0,8.3,NaN,16908.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
90,Flames,(2018– ),,20.0,8.9,NaN,30162.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
91,Fleabag,(2016–2019),18,27.0,8.7,NaN,155962.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,Frasier,(1993–2004),7,22.0,8.2,NaN,84613.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,Free Guy,(2021),12,115.0,7.1,62.0,366391.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Friends,(1994–2004),7,22.0,8.9,NaN,988908.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,Futurama,(1999–2023),16,22.0,8.5,NaN,237902.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Ghosts,(2021– ),14,NaN,7.8,NaN,16256.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Ghosts of Christmas Always,(2022 TV Movie),,90.0,8.0,NaN,473.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Glee,(2009–2015),A,44.0,6.8,NaN,148696.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
99,Guardianes de la Galaxia,(2014),12,121.0,8.0,76.0,1172471.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Guardianes de la Galaxia Vol. 3,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Hermanas hasta la muerte,(2022– ),16,53.0,8.3,NaN,12899.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,Historias de Navidad,(1983),A,93.0,7.9,77.0,148893.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Hunter x Hunter,(2011–2014),,24.0,9.0,NaN,99264.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Kick-Ass: Listo para machacar,(2010),16,117.0,7.6,66.0,563316.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,La Crónica Francesa,(2021),12,107.0,7.1,74.0,120423.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,La Escuela del Bien y del Mal,(2022),12,147.0,5.8,30.0,21479.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,La ciudad perdida,(2022),12,112.0,6.1,60.0,114719.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,La familia Addams,(1991),T,99.0,6.9,57.0,158101.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
109,La familia Addams: La tradición continúa,(1993),13,94.0,6.8,61.0,95395.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,La favorita,(2018),12,119.0,7.5,91.0,200760.0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
