,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
67,El proyecto Adam,(2022),12,106.0,6.7,55.0,198300.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,El príncipe dragón,(2018– ),7,26.0,8.3,NaN,23503.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,El quinto elemento,(1997),7,126.0,7.6,52.0,474111.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
70,El reino de los cielos,(2005),13,144.0,7.2,63.0,289711.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
71,El rey león,(1994),A,88.0,8.5,88.0,1052532.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72,El señor de los anillos: El retorno del rey,(2003),12,201.0,9.0,94.0,1835357.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
73,El señor de los anillos: La comunidad del anillo,(2001),12,178.0,8.8,92.0,1864318.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,El señor de los anillos: Las dos torres,(2002),12,179.0,8.8,87.0,1657236.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
75,El señor de los anillos: Los anillos de poder,(2022– ),14,NaN,6.9,NaN,286084.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,758245.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
77,El último mohicano,(1992),13,112.0,7.7,76.0,171285.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,Elf,(2003),A,97.0,7.0,64.0,267060.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
79,En busca del arca perdida,(1981),A,115.0,8.4,85.0,962141.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,Encantada: La historia de Giselle,(2007),7,107.0,7.1,75.0,200403.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Enola Holmes,(2020),13,123.0,6.6,68.0,183530.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Enola Holmes 2,(2022),16,129.0,6.8,64.0,40256.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Escuadrón suicida,(2016),12,123.0,5.9,40.0,684676.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
84,Eternals,(2021),12,156.0,6.3,52.0,338209.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,Expend4bles,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,FBI: International,(2021– ),12,43.0,6.3,NaN,4139.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,Firefly,(2002–2003),,44.0,9.0,NaN,265543.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
88,Free Guy,(2021),12,115.0,7.1,62.0,366391.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,Futurama,(1999–2023),16,22.0,8.5,NaN,237902.0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,Gladiator (El gladiador),(2000),12,155.0,8.5,67.0,1491732.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
91,God of War,(2018 Video Game),18,NaN,9.6,NaN,28004.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
92,God of War: Ragnarök,(2022 Video Game),,NaN,9.9,NaN,3239.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Guardianes de la Galaxia,(2014),12,121.0,8.0,76.0,1172471.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,Guardianes de la Galaxia (vol. 2),(2017),12,136.0,7.6,67.0,677601.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,Guardianes de la Galaxia Vol. 3,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,Halo,(2022– ),,60.0,7.1,NaN,59542.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
97,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29858.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,Harry Potter y el cáliz de fuego,(2005),7,157.0,7.7,81.0,624127.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
99,Harry Potter y el prisionero de Azkaban,(2004),7,142.0,7.9,82.0,631686.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
100,Harry Potter y la Orden del Fénix,(2007),7,138.0,7.5,71.0,579732.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
101,Harry Potter y la cámara secreta,(2002),7,161.0,7.4,63.0,632570.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
102,Harry Potter y la piedra filosofal,(2001),A,152.0,7.6,65.0,775711.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103,Harry Potter y las Reliquias de la Muerte: Parte 1,(2010),7,146.0,7.7,65.0,546902.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
104,Harry Potter y las Reliquias de la Muerte: Parte 2,(2011),7,130.0,8.1,85.0,871049.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
105,Hunter x Hunter,(2011–2014),,24.0,9.0,NaN,99264.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,Idiocracia,(2006),13,84.0,6.5,66.0,164635.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
107,Interstellar,(2014),12,169.0,8.6,74.0,1807846.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
108,Invincible,(2021– ),18,50.0,8.7,NaN,135600.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,Iron Man,(2008),7,126.0,7.9,79.0,1054650.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
110,Juego de tronos,(2011–2019),18,57.0,9.2,NaN,2082679.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Jumanji: Bienvenidos a la jungla,(2017),7,119.0,6.9,58.0,380127.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Jurassic Park (Parque Jurásico),(1993),13,127.0,8.2,68.0,984346.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
113,Jurassic World: Dominion,(2022),12,147.0,5.7,38.0,148500.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,Kantara,(2022),,148.0,9.0,NaN,66754.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Killing Eve,(2018–2022),16,42.0,8.1,NaN,118859.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
116,Kingsman: El círculo de oro,(2017),16,141.0,6.7,44.0,328134.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,Kingsman: Servicio secreto,(2014),16,129.0,7.7,60.0,666402.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,La Liga de la Justicia de Zack Snyder,(2021),16,242.0,8.0,54.0,395496.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
119,La bella y la bestia (Beauty and the Beast),(I) (2017),A/i,129.0,7.1,65.0,309320.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
120,La bestia,(I) (2022),12,93.0,5.6,54.0,22478.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
121,La casa del dragón,(2022– ),18,NaN,8.5,NaN,256364.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,La ciudad perdida,(2022),12,112.0,6.1,60.0,114719.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,La conquista del espacio,(1966–1969),A,50.0,8.4,NaN,84455.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
124,La costa de los mosquitos,(2021– ),16,60.0,6.9,NaN,12000.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
125,La guerra de las galaxias,(1977),A,121.0,8.6,90.0,1358142.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
126,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64656.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
128,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4300.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,La princesa prometida,(1987),A,98.0,8.0,77.0,427473.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
130,La rueda del tiempo,(2021– ),16,60.0,7.1,NaN,104417.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132,"Las crónicas de Narnia: El león, la bruja y el armario",(2005),7,143.0,6.9,75.0,398787.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
133,Legacies,(2018–2022),16,45.0,7.3,NaN,32015.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
134,Lightyear,(2022),A/i,100.0,6.0,60.0,101009.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2595.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Loki,(2021– ),12,53.0,8.2,NaN,312965.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
137,Los Goonies,(1985),A,114.0,7.7,62.0,274432.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
138,Los Imperfectos,(2022),16,45.0,6.4,NaN,5132.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
139,Los Vengadores,(2012),7,143.0,8.0,69.0,1385704.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
140,Los juegos del hambre,(2012),12,142.0,7.2,68.0,916385.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,Los juegos del hambre: En llamas,(2013),12,146.0,7.5,76.0,664516.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
142,Los tipos malos,(2022),A/i,100.0,6.8,64.0,37549.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
