,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
126,La fuerza del mal,(1948),7,79,7.2,89.0,6951,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
127,La fugitiva,(1950),,77,7.2,NaN,4116,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
128,La hija del pecado,(1947),,96,6.5,NaN,1775,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
129,La huella de un recuerdo,(1946),7,85,7.1,NaN,2819,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
130,La isla de las almas perdidas,(1932),,70,7.4,NaN,9758,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
131,La jungla de asfalto,(1950),,112,7.8,85.0,27682,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
132,La ley de las armas,(1958),,80,6.1,NaN,1708,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
133,La llave de cristal,(1942),,85,7.0,NaN,6557,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
134,La mafia de La Mano Negra,(1950),,92,6.4,NaN,896,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
135,La mujer del cuadro,(1944),A,107,7.6,NaN,16350,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
136,La mujer marcada,(1937),,96,7.1,NaN,4370,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
137,La noche del cazador,(1955),A,92,8.0,99.0,90048,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
138,La pasión ciega,(1940),,95,7.2,NaN,8178,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
139,La senda tenebrosa,(1947),,106,7.5,68.0,20283,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
140,La silla vacía,(1955),,82,7.0,NaN,2592,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
141,La sombra de una duda,(1943),13,108,7.8,94.0,66132,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
142,La ventana,(1949),,73,7.4,NaN,4289,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
143,La viuda negra,(1954),,95,6.7,NaN,2946,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
144,Larga es la noche,(1947),,116,7.7,87.0,10352,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
145,Las dos señoras Carroll,(1947),,99,6.8,NaN,4354,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
146,Las fronteras del crimen,(1951),,120,7.0,NaN,4518,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
147,Laura,(1944),A,88,7.9,NaN,47896,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
148,Lejos de la niebla,(1941),,85,6.8,NaN,1677,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
149,Llama un desconocido,(1952),,105,7.0,NaN,2696,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
