,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
64,El club de la medianoche,(2022– ),16,60.0,6.6,NaN,20358.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
65,El cuento de la criada,(2017– ),18,60.0,8.4,NaN,234720.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
66,El extraño,(II) (2022),16,117.0,6.6,74.0,11044.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
67,El gabinete de curiosidades de Guillermo del Toro,(2022– ),18,60.0,7.2,NaN,26086.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
68,El hijo bastardo y el mismísimo diablo,(2022– ),16,60.0,7.6,NaN,5032.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,El hombre del norte,(2022),16,137.0,7.1,82.0,189136.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,El lobo de Wall Street,(2013),16,180.0,8.2,75.0,1395968.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,El mentalista,(2008–2015),TP,43.0,8.1,NaN,185240.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,El paciente,(2022),,300.0,7.0,NaN,12077.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
73,El padrino,(1972),18,175.0,9.2,100.0,1844667.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,El prodigio,(I) (2022),R,108.0,6.8,70.0,1874.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
75,El príncipe dragón,(2018– ),7,26.0,8.3,NaN,23503.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,El señor de los anillos: La comunidad del anillo,(2001),12,178.0,8.8,92.0,1864318.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,El señor de los anillos: Los anillos de poder,(2022– ),14,NaN,6.9,NaN,286084.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,El triángulo de la tristeza,(2022),R,147.0,7.9,63.0,17012.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,El viaje a París de la señora Harris,(2022),PG,115.0,7.1,70.0,8974.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,El ángel de la muerte,(2022),18,121.0,6.9,65.0,36746.0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Elvis,(2022),12,159.0,7.4,64.0,144533.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,Encerrado con el diablo,(2022),16,347.0,8.2,NaN,56702.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,Enola Holmes,(2020),13,123.0,6.6,68.0,183530.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Enola Holmes 2,(2022),16,129.0,6.8,64.0,40256.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Entrevista con el vampiro,(2022– ),,NaN,6.9,NaN,10131.0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
86,Estación 19,(2018– ),12,60.0,6.8,NaN,15400.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,Euphoria,(2019– ),18,55.0,8.4,NaN,183235.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Expediente X,(1993–2018),13,45.0,8.6,NaN,225698.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
89,FBI,(2018– ),12,60.0,7.0,NaN,18020.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Fargo,(2014– ),18,53.0,8.9,NaN,372704.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
91,Fear the Walking Dead,(2015– ),16,44.0,6.8,NaN,129913.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
92,Fire Country,(2022– ),,44.0,7.1,NaN,1936.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Flames,(2018– ),,20.0,8.9,NaN,30162.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,Gangs of London,(2020– ),18,60.0,8.1,NaN,32086.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,God of War: Ragnarök,(2022 Video Game),,NaN,9.9,NaN,3239.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Hasta los huesos: Bones and All,(2022),R,130.0,7.1,76.0,1258.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
97,Hermanas hasta la muerte,(2022– ),16,53.0,8.3,NaN,12899.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
98,Hermanos de sangre,(2001),13,594.0,9.4,NaN,466396.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
99,Hijos de la anarquía,(2008–2014),16,45.0,8.6,NaN,296960.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
100,House,(2004–2012),13,44.0,8.7,NaN,463257.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
101,Héroes rebeldes de SAS,(2022),18,52.0,8.2,NaN,5248.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
102,Interstellar,(2014),12,169.0,8.6,74.0,1807846.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,Jack Ryan,(2018– ),16,60.0,8.0,NaN,120308.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
104,Joker,(I) (2019),18,122.0,8.4,59.0,1265478.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
