,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,I,M,MUSIC,MUSICAL,ROMANCE,S,SCI-FI,SHORT,U
87,Grease,(1978),A,110.0,7.2,70.0,276696.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
88,Grease 2,(1982),A,115.0,4.5,52.0,36231.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
89,Grease Live!,(2016 TV Movie),,140.0,7.3,NaN,9542.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
90,Hair,(1979),,121.0,7.5,68.0,37991.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
91,Hairspray,(2007),A,117.0,6.7,81.0,131201.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
92,"Hairspray, fiebre de los 60",(1988),A,92.0,7.0,77.0,21725.0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
93,Hamilton,(2020),12,160.0,8.4,90.0,93667.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
94,Happy Feet: Rompiendo el hielo,(2006),A,108.0,6.4,77.0,186839.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,Hazbin Hotel,(2019– ),,32.0,7.7,NaN,4631.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,Hedwig and the Angry Inch,(2001),13,95.0,7.7,85.0,35937.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
97,Helluva Boss,(2019– ),,174.0,8.1,NaN,4644.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,Hermano oso,(2003),A,85.0,6.8,48.0,111629.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,High School Musical,(2006 TV Movie),TP,98.0,5.5,NaN,89172.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
100,High School Musical 3: Fin de curso,(2008),TP,112.0,4.9,57.0,63295.0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
101,High School Musical: El musical: La serie,(2019– ),TP,31.0,7.1,NaN,7333.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
102,Hámster y gretel,(2022– ),,11.0,6.8,NaN,189.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Hércules,(1997),A,93.0,7.3,74.0,231843.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,Into the Woods,(2014),7,125.0,5.9,69.0,141897.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
105,James y el melocotón gigante,(1996),T,79.0,6.7,78.0,68275.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
106,Jesucristo superstar,(1973),18,106.0,7.3,64.0,27434.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
107,Joker: Folie à Deux,(2024),,NaN,NaN,NaN,NaN,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
108,Julie and the Phantoms,(2020),7,NaN,8.4,NaN,10215.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
109,La LEGO película 2,(2019),A/i,107.0,6.6,65.0,67101.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,La balada de Buster Scruggs,(2018),16,133.0,7.3,79.0,147774.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
111,La bella durmiente,(1959),A,75.0,7.2,85.0,149612.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
112,La bella y la bestia,(1991),T,84.0,8.0,95.0,454008.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
113,La bella y la bestia,(I) (2017),A/i,129.0,7.1,65.0,308785.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
114,La bruja novata,(1971),,117.0,7.0,59.0,38294.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,La casa de Mickey Mouse,(2006–2016),A,30.0,5.7,NaN,3858.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116,La casa de muñecas de Gabby,(2021– ),7,24.0,7.3,NaN,447.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
117,La cenicienta,(1950),A,74.0,7.3,85.0,161086.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
118,La ciudad de las estrellas (La La Land),(2016),A,128.0,8.0,94.0,583171.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
119,La dama y el vagabundo,(1955),T,76.0,7.3,78.0,136487.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,La dama y el vagabundo,(2019),PG,111.0,6.2,48.0,22002.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,La extraordinaria playlist de Zoey,(2020–2021),16,60.0,8.1,NaN,16228.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
122,La increíble pero cierta historia de Caperucita Roja,(2005),A,80.0,6.5,45.0,62097.0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,La leyenda de la ciudad sin nombre,(1969),13,164.0,6.6,50.0,13869.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
124,La loca historia del mundo,(1981),,92.0,6.8,47.0,50090.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
125,La novia cadáver,(2005),7,77.0,7.3,83.0,273984.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
126,La pandilla,(1992),T,121.0,6.9,46.0,21125.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
127,La película de los Teleñecos,(1979),,95.0,7.6,74.0,36487.0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,La peor bruja,(1986 TV Movie),,70.0,6.8,NaN,2875.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
129,La princesa Sofía,(2012–2018),TP,22.0,6.9,NaN,3069.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
130,La ruta hacia El Dorado,(2000),A,89.0,6.9,51.0,97186.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,La sirenita,(1989),A,83.0,7.6,88.0,263527.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
133,La sirenita 2: Regreso al mar,(2000 Video),,75.0,5.5,NaN,19911.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,La tienda de los horrores,(1986),A,94.0,7.1,81.0,77591.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
135,Ladybug & Cat Noir: Awakening,(2022),,105.0,NaN,NaN,NaN,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Las aventuras de Wilbur y Carlota,(1973),,94.0,6.9,73.0,21109.0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
137,Las chicas de la Tierra son fáciles,(1988),TP,100.0,5.4,66.0,23569.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
138,"Las locas, locas aventuras de Robin Hood",(1993),A,104.0,6.7,44.0,127336.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
139,Las pistas de Blue,(1996–2020),,25.0,6.9,NaN,6022.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
140,Las pistas de Blue y tú,(2019– ),,NaN,7.0,NaN,643.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2000.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
142,Lorax: En busca de la trúfula perdida,(2012),A/i,86.0,6.4,46.0,113939.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,Los Conchords,(2007–2009),7,28.0,8.6,NaN,61554.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
144,Los Muppets,(2011),A,120.0,7.1,75.0,92980.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
145,Los Muppets en Haunted Mansion,(2021 TV Special),,52.0,6.4,NaN,6965.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
146,Los aristogatos,(1970),,78.0,7.1,66.0,104876.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,Los caballeros las prefieren rubias,(1953),A,91.0,7.1,NaN,38669.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
148,Los descendientes,(2015 TV Movie),,112.0,6.2,NaN,20863.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
149,Los descendientes 3,(2019 TV Movie),,106.0,6.4,NaN,8459.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
150,Los miserables,(2012),7,158.0,7.5,63.0,330187.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
151,Los productores,(2005),PG-13,134.0,6.3,52.0,43076.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
