,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,N,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
61,Dos madres perfectas,(2013),16,112.0,6.2,37.0,34893.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
62,Downton Abbey,(2010–2015),7,58.0,8.7,NaN,206283.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
63,Downton Abbey: Una nueva era,(2022),PG,124.0,7.4,63.0,20331.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,Drácula de Bram Stoker,(1992),18,128.0,7.4,57.0,218491.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,Déjame entrar,(2008),13,114.0,7.9,82.0,217963.0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Eduardo Manostijeras,(1990),A,105.0,7.9,74.0,489984.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
67,El bar Coyote,(2000),13,100.0,5.7,27.0,115804.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,El curioso caso de Benjamin Button,(2008),A,166.0,7.8,70.0,649007.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
69,El descubrimiento de las brujas,(2018–2022),12,60.0,7.9,NaN,53054.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,El diario de Noa,(2004),A,123.0,7.8,53.0,571320.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,El fantasma de la ópera de Andrew Lloyd Webber,(2004),PG-13,143.0,7.2,40.0,123676.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,El gran Gatsby,(2013),12,143.0,7.2,55.0,543089.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,El indomable Will Hunting,(1997),A,126.0,8.3,70.0,960780.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
74,El lado bueno de las cosas,(2012),12,122.0,7.7,81.0,708235.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
