,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,I,M,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER
65,El gran Lebowski,(1998),12,117.0,8.1,71.0,806476.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,El gran hotel Budapest,(2014),12,99.0,8.1,88.0,804874.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
67,El insoportable peso de un talento descomunal,(2022),12,107.0,7.0,68.0,81749.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,El juego de la sospecha (Cluedo),(1985),13,94.0,7.2,39.0,97742.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
69,El juramento,(2020–2022),16,60.0,7.1,NaN,5392.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,El juramento,(I) (2001),13,124.0,6.8,71.0,59613.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
71,El lobo de Wall Street,(2013),16,180.0,8.2,75.0,1395968.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,El mentalista,(2008–2015),TP,43.0,8.1,NaN,185240.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
73,El padrino,(1972),18,175.0,9.2,100.0,1844667.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,El padrino (parte II),(1974),18,202.0,9.0,90.0,1263631.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,El precio del poder,(1983),18,170.0,8.3,65.0,837086.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,El profesional (Léon),(1994),18,110.0,8.5,64.0,1155057.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,El sastre de la mafia,(2022),16,105.0,7.1,69.0,39601.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
78,El silencio de los corderos,(1991),18,118.0,8.6,85.0,1424126.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,El ángel de la muerte,(2022),18,121.0,6.9,65.0,36746.0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Elementary,(2012–2019),12,60.0,7.9,NaN,111576.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
81,Emily la estafadora,(2022),R,97.0,6.7,75.0,15703.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
82,Encerrado con el diablo,(2022),16,347.0,8.2,NaN,56702.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,Endeavour,(2012–2022),12,89.0,8.6,NaN,26579.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
84,Enola Holmes,(2020),13,123.0,6.6,68.0,183530.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Enola Holmes 2,(2022),16,129.0,6.8,64.0,40256.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Escondidos en Brujas,(2008),18,107.0,7.9,67.0,426427.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,Escuela de jóvenes asesinos,(1988),18,103.0,7.2,72.0,105371.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,Expediente X,(1993–2018),13,45.0,8.6,NaN,225698.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,FBI,(2018– ),12,60.0,7.0,NaN,18020.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,FBI: International,(2021– ),12,43.0,6.3,NaN,4139.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,FBI: Most Wanted,(2020– ),12,45.0,6.9,NaN,8282.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,Fargo,(2014– ),18,53.0,8.9,NaN,372704.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
93,Fast X,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
94,Gangs of London,(2020– ),18,60.0,8.1,NaN,32086.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
