,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,B,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,G,HISTORY,HORROR,I,MUSIC,MUSICAL,O,R,ROMANCE,SHORT,SPORT,THRILLER,WAR,WESTERN
91,En la cuerda floja,(2005),18,136.0,7.8,72.0,251994.0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
92,Encerrado con el diablo,(2022),16,347.0,8.2,NaN,56702.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Enemigos públicos,(2009),13,140.0,7.0,70.0,304308.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Erin Brockovich,(2000),A,131.0,7.4,73.0,199004.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,Espartaco,(1960),13,197.0,7.9,87.0,135603.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Everest,(2015),12,121.0,7.1,64.0,218632.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,"Extremely Wicked, Shockingly Evil and Vile",(2019),16,110.0,6.7,52.0,95063.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,Ferrari,(II),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,Feud,(2017– ),,406.0,8.4,NaN,19864.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,Figuras ocultas,(2016),A/fig,127.0,7.8,74.0,230270.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
101,First Man (El primer hombre),(2018),7,141.0,7.3,84.0,188791.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
102,Foxcatcher,(2014),12,134.0,7.0,81.0,143477.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
103,Friends: The Reunion,(2021 TV Special),3,104.0,8.0,NaN,59740.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,Fruitvale Station,(2013),R,85.0,7.5,85.0,81869.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,Fuga de Alcatraz,(1979),13,112.0,7.6,76.0,136755.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,Gandhi,(1982),A,191.0,8.1,79.0,232114.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,Gaslit,(2022),,60.0,7.3,NaN,5285.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
108,Genius,(I) (2017– ),12,43.0,8.2,NaN,18755.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
109,George & Tammy,(2022– ),,NaN,NaN,NaN,NaN,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,Gia,(1998 TV Movie),R,120.0,6.9,NaN,46212.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
111,Goles en Contra,(2022– ),,55.0,7.1,NaN,133.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
112,Green Book,(2018),12,130.0,8.2,69.0,487640.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Hacia rutas salvajes,(2007),7,148.0,8.1,73.0,622740.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,Hamilton,(2020),12,160.0,8.4,90.0,94085.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,Hasta el último hombre,(2016),16,139.0,8.1,71.0,522957.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
116,Héroes en el infierno,(2017),12,134.0,7.6,72.0,70369.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,Infiltrado en el KKKlan,(2018),12,135.0,7.5,83.0,264008.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,Inocencia interrumpida,(1999),18,127.0,7.3,51.0,189389.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,Intocable,(2011),7,112.0,8.5,57.0,853593.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,Invencible (Unbroken),(I) (2014),12,137.0,7.2,59.0,168928.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,Ip Man,(2008),13,106.0,8.0,59.0,224448.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
122,Jarhead - El infierno espera,(2005),18,125.0,7.0,58.0,191242.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
123,Jeanne du Barry,,,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
124,Jerry & Marge Go Large,(2022),PG-13,96.0,6.9,52.0,11602.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
125,Joy,(I) (2015),7/fig,124.0,6.6,56.0,137737.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,Judas y el mesías negro,(2021),16,126.0,7.4,85.0,80034.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
127,Juego de armas,(2016),16,114.0,7.1,57.0,220462.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,Julia,(2022– ),,45.0,8.3,NaN,8082.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Julie y Julia,(2009),A,123.0,7.0,66.0,120512.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
130,La casa Gucci,(2021),12,158.0,6.6,59.0,133744.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,La chica danesa,(2015),12,119.0,7.1,66.0,186731.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
132,La ciudad es nuestra,(2022),18,357.0,7.6,NaN,21139.0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,La dama de oro,(2015),7,109.0,7.3,51.0,59590.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
134,La emperatriz rebelde,(2022),,113.0,7.0,81.0,1375.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,La favorita,(2018),12,119.0,7.5,91.0,200760.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,La gran apuesta,(2015),12,130.0,7.8,81.0,430586.0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,La jungla,(I) (2017),12,115.0,6.7,48.0,57705.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138,La lista de Schindler,(1993),12,195.0,9.0,94.0,1348061.0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,La playlist,(2022),12,300.0,7.5,NaN,6361.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,La red social,(2010),7,120.0,7.8,95.0,701157.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,La reina virgen,(1953),,112.0,6.6,NaN,1635.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
142,La teoría del todo,(2014),A,123.0,7.7,71.0,451253.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
143,Lamborghini,(2022),R,97.0,NaN,NaN,NaN,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,Lawless (Sin ley),(2012),16,116.0,7.2,58.0,243138.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Lawrence de Arabia,(1962),A,218.0,8.3,100.0,293970.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,Le Mans '66,(2019),7,152.0,8.1,81.0,390417.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Lee,,,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148,Legend,(I) (2015),16,132.0,6.9,55.0,183684.0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Lincoln,(2012),7,150.0,7.3,86.0,261332.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
150,Lion,(2016),12,118.0,8.0,69.0,236820.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Los Médici: Señores de Florencia,(2016–2019),18,60.0,7.9,NaN,19531.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
152,Los archivos del Pentágono,(2017),7,116.0,7.2,83.0,151767.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
153,Los ojos de Tammy Faye,(2021),12,126.0,6.6,55.0,33493.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
154,Lovelace,(2013),R,93.0,6.2,51.0,41061.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,Low Country: The Murdaugh Dynasty,(2022),,149.0,7.4,NaN,375.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Maestro,(VII),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
157,Major,(2022),,150.0,8.2,NaN,27555.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,Malcolm X,(1992),T,202.0,7.7,73.0,95284.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
159,Manhunt: Unabomber,(II) (2017– ),16,60.0,8.1,NaN,59882.0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Mank,(2020),12,131.0,6.8,79.0,75606.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,María Antonieta (Marie Antoinette),(2006),A,123.0,6.5,65.0,112392.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162,"María, reina de Escocia",(2018),12,124.0,6.3,60.0,51060.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
163,Memorias de África,(1985),A,161.0,7.1,69.0,80561.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
164,Mi amigo Dahmer,(2017),R,107.0,6.2,68.0,21722.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
165,Mike,(2022),18,25.0,6.8,NaN,3532.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
