,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
81,Frozen: El reino del hielo,(I) (2013),A,102.0,7.4,75.0,623720.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,Ghosts,(2021– ),14,NaN,7.8,NaN,16256.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
83,God of War,(2018 Video Game),18,NaN,9.6,NaN,28004.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,God of War: Ragnarök,(2022 Video Game),,NaN,9.9,NaN,3239.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
85,Good Omens,(2019–2023),16,328.0,8.0,NaN,77435.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86,Gravity Falls,(2012–2016),TP,23.0,8.9,NaN,107929.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Grimm,(2011–2017),16,45.0,7.9,NaN,120406.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
88,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29858.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,Harry Potter y el cáliz de fuego,(2005),7,157.0,7.7,81.0,624127.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
90,Harry Potter y el misterio del príncipe,(2009),7,153.0,7.6,78.0,543301.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
91,Harry Potter y el prisionero de Azkaban,(2004),7,142.0,7.9,82.0,631686.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
92,Harry Potter y la Orden del Fénix,(2007),7,138.0,7.5,71.0,579732.0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
93,Harry Potter y la cámara secreta,(2002),7,161.0,7.4,63.0,632570.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
94,Harry Potter y la piedra filosofal,(2001),A,152.0,7.6,65.0,775711.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
95,Harry Potter y las Reliquias de la Muerte: Parte 1,(2010),7,146.0,7.7,65.0,546902.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
96,Harry Potter y las Reliquias de la Muerte: Parte 2,(2011),7,130.0,8.1,85.0,871049.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
97,Hoja de los 47 Ronin,(2022),R,107.0,4.7,NaN,696.0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
98,Hook (El capitán Garfio),(1991),A,142.0,6.8,52.0,255270.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,Hora de aventuras,(2010–2018),,11.0,8.6,NaN,95319.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Hunter x Hunter,(2011–2014),,24.0,9.0,NaN,99264.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,Héroes,(II) (2006–2010),16,45.0,7.5,NaN,241761.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
102,Immortals,(2011),16,110.0,6.0,46.0,169487.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
103,Invincible,(2021– ),18,50.0,8.7,NaN,135600.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,It: Capítulo 2,(2019),18,169.0,6.5,58.0,265448.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
105,Juego de tronos,(2011–2019),18,57.0,9.2,NaN,2082679.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
106,Jujutsu Kaisen,(2020– ),Not Rated,24.0,8.6,NaN,60444.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,Jumanji: Bienvenidos a la jungla,(2017),7,119.0,6.9,58.0,380127.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
108,Jumanji: Siguiente nivel,(2019),7,123.0,6.7,58.0,250155.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,La Escuela del Bien y del Mal,(2022),12,147.0,5.8,30.0,21479.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
110,La Liga de la Justicia de Zack Snyder,(2021),16,242.0,8.0,54.0,395496.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,La bella y la bestia (Beauty and the Beast),(I) (2017),A/i,129.0,7.1,65.0,309320.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
112,La bruja,(2015),16,92.0,6.9,83.0,262688.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
113,La casa del dragón,(2022– ),18,NaN,8.5,NaN,256364.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
114,La dimensión desconocida,(1959–1964),13,51.0,9.1,NaN,83671.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
115,La familia Addams,(1991),T,99.0,6.9,57.0,158101.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,La familia Addams: La tradición continúa,(1993),13,94.0,6.8,61.0,95395.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
117,La forma del agua,(2017),12,123.0,7.3,87.0,419620.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
118,La guerra de las galaxias,(1977),A,121.0,8.6,90.0,1358142.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
119,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,48286.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
120,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64656.0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
121,La milla verde,(1999),13,189.0,8.6,61.0,1293397.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
122,La momia,(2017),12,111.0,5.4,34.0,191047.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,La monja guerrera,(2020– ),16,NaN,6.9,NaN,36977.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
124,La máscara,(1994),13,101.0,6.9,56.0,386800.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,La novia cadáver,(2005),7,77.0,7.3,83.0,275027.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
126,La princesa prometida,(1987),A,98.0,8.0,77.0,427473.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
127,La rueda del tiempo,(2021– ),16,60.0,7.1,NaN,104417.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
