,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
37,Chainsaw Man,(2022– ),,NaN,8.9,NaN,8795.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Chip y Chop: Los guardianes rescatadores,(2022),9+,97.0,7.0,66.0,39247.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,Coco,(I) (2017),A,105.0,8.4,81.0,501318.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Code Geass: Lelouch of the Rebellion,(2006–2008),,24.0,8.7,NaN,68377.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Cowboy Bebop,(1998–1999),16,24.0,8.9,NaN,119131.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,Cyberpunk: Edgerunners,(2022– ),16,24.0,8.4,NaN,39360.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Cómo entrenar a tu dragón,(2010),7/i,98.0,8.1,75.0,736796.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,DC Liga de Supermascotas,(2022),TP,105.0,7.3,56.0,59215.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,DC Showcase: Superman/Shazam!: El regreso de Black Adam,(2010 Video),A,25.0,7.0,NaN,8426.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46,Daniel Spellbound,(2022– ),,22.0,7.8,NaN,106.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Dead End: El parque del terror,(2022– ),7,30.0,6.8,NaN,2204.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,Death Note,(2006–2007),7,24.0,9.0,NaN,320447.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
49,Del revés (Inside Out),(I) (2015),A,95.0,8.2,94.0,708825.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Demon Slayer: Kimetsu no Yaiba,(2019– ),Not Rated,24.0,8.7,NaN,100653.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Desencantada: Vuelve Giselle,(2022),PG,NaN,NaN,NaN,NaN,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
