,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MYSTERY,ROMANCE,S,SCI-FI,SHORT,T,THRILLER,WAR,Y
56,El sexto sentido,(1999),13,107.0,8.2,64.0,988020.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
57,El teléfono del señor Harrigan,(2022),12,104.0,6.0,55.0,22855.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
58,El truco final (El prestigio),(2006),18,130.0,8.5,66.0,1323859.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
59,El viaje de Chihiro,(2001),A,125.0,8.6,96.0,756450.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,El visitante,(2020),16,60.0,7.7,NaN,82742.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Elementary,(2012–2019),12,60.0,7.9,NaN,111378.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,Embrujadas,(1998–2006),7,42.0,7.1,NaN,84342.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
63,Encerrado con el diablo,(2022),16,347.0,8.2,NaN,54801.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Endeavour,(2012–2022),12,89.0,8.6,NaN,26466.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
65,Enola Holmes,(2020),13,123.0,6.6,68.0,173107.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,Enola Holmes 2,(2022),PG-13,129.0,6.9,58.0,203.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,Evil,(2019– ),16,42.0,7.7,NaN,26819.0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,Expediente Warren: El caso Enfield,(2016),16,134.0,7.3,65.0,270718.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
69,Expediente Warren: The Conjuring,(2013),16,112.0,7.5,68.0,507105.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
70,Expediente X,(1993–2018),13,45.0,8.6,NaN,225116.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
71,Eyes Wide Shut,(1999),18,159.0,7.5,68.0,340917.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
72,FBI,(2018– ),12,60.0,7.0,NaN,17857.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,FBI: International,(2021– ),12,43.0,6.3,NaN,4082.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,FBI: Most Wanted,(2020– ),12,45.0,6.9,NaN,8204.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Fast X,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,Fringe (Al límite),(2008–2013),13,46.0,8.4,NaN,241527.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
77,From,(2022– ),,52.0,7.6,NaN,20298.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
78,Gotham,(2014–2019),16,42.0,7.8,NaN,230247.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,Grimcutty: Asesino implacable,(2022),16,101.0,4.3,NaN,4428.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
80,Grimm,(2011–2017),16,45.0,7.8,NaN,120145.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Halloween III: El día de la bruja,(1982),18,98.0,5.1,50.0,55310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
82,Hannibal,(2013–2015),18,44.0,8.5,NaN,254716.0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29679.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Harry Potter y el cáliz de fuego,(2005),7,157.0,7.7,81.0,622807.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
85,Harry Potter y el prisionero de Azkaban,(2004),7,142.0,7.9,82.0,630317.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Harry Potter y la cámara secreta,(2002),7,161.0,7.4,63.0,631138.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
87,Harry Potter y las Reliquias de la Muerte - Parte 2,(2011),7,130.0,8.1,85.0,869614.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Hellraiser,(2022),R,121.0,6.0,56.0,28907.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
89,Hereditary,(2018),16,127.0,7.3,87.0,312818.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
90,Historias de miedo para contar en la oscuridad,(2019),16,108.0,6.2,61.0,77228.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
91,Homeland,(2011–2020),16,55.0,8.3,NaN,340807.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
92,House,(2004–2012),13,44.0,8.7,NaN,462099.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
93,In the Dark,(2019–2022),X,42.0,7.5,NaN,13084.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
94,Insidious,(I) (2010),16,103.0,6.8,52.0,309537.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
95,It,(1990),13,192.0,6.8,NaN,129533.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
96,It Follows,(2014),16,100.0,6.8,83.0,242711.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
97,Jaula,(2022),16,106.0,6.1,NaN,2251.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
98,Jeepers Creepers,(2001),13,90.0,6.2,49.0,130254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
99,Jeepers Creepers: Reborn,(2022),R,88.0,2.5,NaN,6581.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
100,Justified: La ley de Raylan,(2010–2015),16,44.0,8.6,NaN,100623.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,Karen Pirie,(2022– ),,120.0,7.5,NaN,2244.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
102,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
103,La Brea,(2021– ),,NaN,5.7,NaN,11061.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
104,La bruja,(2015),16,92.0,6.9,83.0,261179.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
105,La cabaña en el bosque,(2011),16,95.0,7.0,72.0,418013.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
106,La casa de papel,(2017–2021),16,70.0,8.2,NaN,473176.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,La chica que lo tenía todo,(2022),16,113.0,6.4,54.0,34024.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
108,La chica salvaje,(2022),12,125.0,7.1,43.0,46743.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
109,La cosa (El enigma de otro mundo),(1982),13,109.0,8.2,57.0,423559.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
110,La dimensión desconocida,(1959–1964),13,51.0,9.1,NaN,83490.0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
111,La guerra de los mundos,(2019– ),12,49.0,6.4,NaN,14155.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
112,La herencia,(I) (2020),16,111.0,5.5,31.0,15135.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
113,La huérfana,(2009),18,123.0,7.0,42.0,230584.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
114,La huérfana: primer asesinato,(2022),16,99.0,5.9,54.0,28551.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
115,La maldición de Bly Manor,(2020),16,494.0,7.3,NaN,104890.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
116,La maldición de Hill House,(2018),16,572.0,8.6,NaN,242376.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
117,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,43889.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,La mansión encantada,(2003),A,99.0,5.1,34.0,49996.0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,La milla verde,(1999),13,189.0,8.6,61.0,1291015.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4161.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,La muchacha del sendero,(1976),,91.0,7.0,53.0,16323.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
122,La profecía,(1976),18,111.0,7.5,62.0,120800.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
123,Las mariposas negras,(2022– ),,50.0,7.5,NaN,1557.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
124,Ley y Orden: Crimen organizado,(2021– ),,42.0,7.7,NaN,7334.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
