,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,MUSICAL,MYSTERY,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,THRILLER
206,Suspiria,(I) (2018),18,152.0,6.7,64.0,78557.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
207,Sweeney Todd: El barbero diabólico de la calle Fleet,(2007),13,116.0,7.3,83.0,369374.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
208,Terrifier,(2011),,20.0,6.8,NaN,1450.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
209,Terrifier,(2016),,85.0,5.6,NaN,27849.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
210,Terrifier 2,(2022),18,138.0,6.4,57.0,12514.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
211,Terror Train,(2022),,90.0,4.3,NaN,453.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
212,The Faculty,(1998),18,104.0,6.5,61.0,124595.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
213,The Fall of the House of Usher,(2023– ),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
214,The Lair,(2022),,96.0,4.5,NaN,779.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
215,The Last of Us,(2023– ),,NaN,NaN,NaN,NaN,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
216,The Munsters,(2022),PG,109.0,4.6,57.0,8363.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
