,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,H,HISTORY,HORROR,I,L,MYSTERY,R,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
81,Eyes Wide Shut,(1999),18,159.0,7.5,68.0,340917.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
82,FBI,(2018– ),12,60.0,7.0,NaN,17857.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,FBI: Most Wanted,(2020– ),12,45.0,6.9,NaN,8204.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,Fall,(I) (2022),16,107.0,6.4,62.0,38651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
85,Fargo,(2014– ),18,53.0,8.9,NaN,372095.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
86,Fear the Walking Dead,(2015– ),16,44.0,6.8,NaN,129724.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
87,Fresh,(2022),18,114.0,6.7,67.0,52433.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
88,Fringe (Al límite),(2008–2013),13,46.0,8.4,NaN,241527.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
89,From,(2022– ),,52.0,7.6,NaN,20298.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
90,Grimcutty: Asesino implacable,(2022),16,101.0,4.3,NaN,4428.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
91,Guardianes de la Galaxia Vol. 3,(2023),,NaN,NaN,NaN,NaN,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,Halloween III: El día de la bruja,(1982),18,98.0,5.1,50.0,55310.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0
93,Halloween Kills,(2021),18,105.0,5.5,42.0,85343.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
94,Halloween: El final,(2022),18,111.0,5.0,47.0,45066.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
95,Halloween: H20. 20 años después,(1998),18,86.0,5.8,52.0,76697.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
96,Halo,(2022– ),,60.0,7.1,NaN,58943.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
97,Hellraiser,(2022),R,121.0,6.0,56.0,28907.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
98,Hellraiser: Los que traen el infierno,(1987),18,94.0,6.9,56.0,127753.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
99,Hereditary,(2018),16,127.0,7.3,87.0,312818.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
100,Hermanas hasta la muerte,(2022– ),16,53.0,8.3,NaN,11178.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
101,Hijos de la anarquía,(2008–2014),16,45.0,8.6,NaN,296387.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
102,Homeland,(2011–2020),16,55.0,8.3,NaN,340807.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
103,Héroes rebeldes de SAS,(2022),18,NaN,8.1,NaN,1318.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
104,Infiltrados,(2006),18,151.0,8.5,85.0,1316180.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
105,Insidious,(I) (2010),16,103.0,6.8,52.0,309537.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
106,It,(1990),13,192.0,6.8,NaN,129533.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
107,It Follows,(2014),16,100.0,6.8,83.0,242711.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
108,Jack Ryan,(2018– ),16,60.0,8.0,NaN,119099.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
109,Jaula,(2022),16,106.0,6.1,NaN,2251.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
110,Jeepers Creepers: Reborn,(2022),R,88.0,2.5,NaN,6581.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
111,John Wick (Otro día para matar),(2014),16,101.0,7.4,68.0,626830.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
112,John Wick: Chapter 4,(2023),,NaN,NaN,NaN,NaN,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
113,Joker,(I) (2019),18,122.0,8.4,59.0,1260049.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
114,Joker: Folie à Deux,(2024),,NaN,NaN,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,Jurassic Park (Parque Jurásico),(1993),13,127.0,8.2,68.0,982940.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
116,Jurassic World: Dominion,(2022),12,147.0,5.7,38.0,145959.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
117,Justified: La ley de Raylan,(2010–2015),16,44.0,8.6,NaN,100623.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,Kantara,(2022),,148.0,9.1,NaN,60243.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,Killers of the Flower Moon,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
120,La bestia,(I) (2022),12,93.0,5.6,54.0,21403.0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
121,La bruja,(2015),16,92.0,6.9,83.0,261179.0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
122,La cabaña en el bosque,(2011),16,95.0,7.0,72.0,418013.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
123,La casa de papel,(2017–2021),16,70.0,8.2,NaN,473176.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,La chica de la limpieza,(2022– ),,45.0,7.0,NaN,6946.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
125,La chica que lo tenía todo,(2022),16,113.0,6.4,54.0,34024.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
126,La chica salvaje,(2022),12,125.0,7.1,43.0,46743.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
127,La huérfana,(2009),18,123.0,7.0,42.0,230584.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
128,La huérfana: primer asesinato,(2022),16,99.0,5.9,54.0,28551.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
129,La invitación,(II) (2022),12,105.0,5.2,45.0,12546.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
130,La lista final,(2022– ),16,55.0,8.0,NaN,85241.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
131,La maldición de Bly Manor,(2020),16,494.0,7.3,NaN,104890.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
132,La maldición de Hill House,(2018),16,572.0,8.6,NaN,242376.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
133,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,43889.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,La memoria de un asesino,(2022),16,114.0,5.7,41.0,21424.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
135,La muchacha del sendero,(1976),,91.0,7.0,53.0,16323.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
136,La niebla,(2007),18,126.0,7.1,58.0,311741.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
137,La noche de Halloween,(1978),18,91.0,7.7,87.0,279990.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
138,La noche de Halloween,(I) (2018),16,106.0,6.5,67.0,155075.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
139,La víspera de Halloween,(2013),,83.0,5.1,NaN,8304.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
140,Las mariposas negras,(2022– ),,50.0,7.5,NaN,1557.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
141,Ley y Orden: Crimen organizado,(2021– ),,42.0,7.7,NaN,7334.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
142,Ley y orden,(1990– ),13,45.0,7.8,NaN,39022.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
143,Ley y orden: Unidad de víctimas especiales,(1999– ),18,60.0,8.1,NaN,106267.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
144,Locke & Key,(2020–2022),13,48.0,7.3,NaN,86324.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
145,Los juegos del hambre,(2012),12,142.0,7.2,68.0,914796.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
146,Los mundos de Coraline,(2009),7,100.0,7.7,80.0,229291.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147,Lou,(I) (2022),16,107.0,6.1,51.0,20450.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
148,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,167469.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
149,M3gan,(2023),PG-13,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
150,Manifest,(2018– ),12,43.0,7.1,NaN,60673.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
151,Men,(2022),16,100.0,6.1,65.0,35926.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
152,Mentes criminales,(2005–2020),13,42.0,8.1,NaN,196520.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
153,Midsommar,(2019),18,148.0,7.1,72.0,316632.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
154,Mindhunter,(2017–2019),16,60.0,8.6,NaN,285847.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
155,Morbius,(2022),12,104.0,5.2,35.0,115943.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
156,Mr. Robot,(2015–2019),16,49.0,8.6,NaN,385798.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
157,Nadie,(I) (2021),18,92.0,7.4,64.0,246801.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,Narcos,(2015–2017),16,49.0,8.8,NaN,419559.0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,Navy: Investigación criminal,(2003– ),12,60.0,7.8,NaN,147282.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,No es país para viejos,(2007),18,122.0,8.2,92.0,966067.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
161,No te preocupes querida,(I) (2022),16,123.0,6.2,48.0,44798.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
162,Nosotros,(II) (2019),16,116.0,6.8,81.0,296758.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
163,Nueve perfectos extraños,(2021–2022),13,388.0,7.0,NaN,50185.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
164,One of Us Is Lying,(2021– ),16,50.0,6.8,NaN,9413.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
165,Origen,(2010),12,148.0,8.8,74.0,2330503.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
166,Outer Range,(2022– ),18,60.0,7.1,NaN,26406.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
167,Ozark,(2017–2022),16,60.0,8.5,NaN,312827.0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
168,Parásitos,(2019),16,132.0,8.5,96.0,787610.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
