,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,GAME-SHOW,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,THRILLER,V,WAR,WESTERN
91,Guardianes de la Galaxia Vol. 3,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,Halloweentown: ¡Qué familia la mía!,(1998 TV Movie),,84.0,6.6,NaN,18685.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,Halo,(2022– ),,60.0,7.1,NaN,58943.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
94,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29679.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Harry Potter y el cáliz de fuego,(2005),7,157.0,7.7,81.0,622807.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
96,Harry Potter y el prisionero de Azkaban,(2004),7,142.0,7.9,82.0,630317.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
97,Harry Potter y la Orden del Fénix,(2007),7,138.0,7.5,71.0,578497.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
98,Harry Potter y la cámara secreta,(2002),7,161.0,7.4,63.0,631138.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
99,Harry Potter y la piedra filosofal,(2001),A,152.0,7.6,65.0,773799.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
100,Harry Potter y las Reliquias de la Muerte - Parte 1,(2010),7,146.0,7.7,65.0,545734.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
101,Harry Potter y las Reliquias de la Muerte - Parte 2,(2011),7,130.0,8.1,85.0,869614.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
102,Historias de miedo para contar en la oscuridad,(2019),16,108.0,6.2,61.0,77228.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
103,Hotel Transilvania,(2012),A/i,91.0,7.0,47.0,256177.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,Hunter x Hunter,(2011–2014),,24.0,9.0,NaN,98492.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,Interstellar,(2014),12,169.0,8.6,74.0,1802287.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,Invincible,(2021– ),18,50.0,8.7,NaN,134607.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Iron Man,(2008),7,126.0,7.9,79.0,1052778.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
108,Juego de tronos,(2011–2019),18,57.0,9.2,NaN,2077220.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Jujutsu Kaisen,(2020– ),Not Rated,24.0,8.6,NaN,59723.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,Jumanji: Bienvenidos a la jungla,(2017),7,119.0,6.9,58.0,378998.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,Jumanji: Siguiente nivel,(2019),7,123.0,6.7,58.0,249303.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Jurassic Park (Parque Jurásico),(1993),13,127.0,8.2,68.0,982940.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
113,Jurassic World: Dominion,(2022),12,147.0,5.7,38.0,145959.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,Kantara,(2022),,148.0,9.1,NaN,60243.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Karthikeya 2,(2022),,150.0,7.9,NaN,59534.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116,Killing Eve,(2018–2022),16,42.0,8.1,NaN,118554.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Kingsman: Servicio secreto,(2014),16,129.0,7.7,60.0,665327.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
118,La Liga de la Justicia de Zack Snyder,(2021),16,242.0,8.0,54.0,393970.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,La bella y la bestia,(I) (2017),A/i,129.0,7.1,65.0,308785.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
120,La bestia,(I) (2022),12,93.0,5.6,54.0,21403.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
121,La casa del dragón,(2022– ),18,NaN,8.6,NaN,239140.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,La ciudad perdida,(2022),12,112.0,6.1,60.0,111423.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,La conquista del espacio,(1966–1969),A,50.0,8.4,NaN,84285.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
124,La guerra de las galaxias,(1977),A,121.0,8.6,90.0,1356243.0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
125,La maldición de las brujas,(1990),A,91.0,6.8,78.0,50905.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
126,La maldición del hombre lobo,(2022 TV Movie),,52.0,7.2,NaN,43889.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64360.0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
128,La misteriosa sociedad Benedict,(2021– ),9+,NaN,7.6,NaN,4161.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,La princesa prometida,(1987),A,98.0,8.0,77.0,426956.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
130,La rueda del tiempo,(2021– ),16,60.0,7.1,NaN,103965.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
132,Las brujas de Roald Dahl,(2020),7,106.0,5.3,47.0,41370.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
133,Legacies,(2018–2022),16,45.0,7.3,NaN,31891.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
134,Liga de la Justicia,(2017),7,120.0,6.1,45.0,451727.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
135,Lightyear,(2022),A/i,100.0,6.0,60.0,99619.0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"Lilo, mi amigo el cocodrilo",(2022),A,106.0,6.3,51.0,2000.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Loki,(2021– ),12,53.0,8.2,NaN,311273.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,Los Goonies,(1985),A,114.0,7.7,62.0,273795.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
139,Los Imperfectos,(2022– ),16,45.0,6.4,NaN,4908.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,Los Vengadores,(2012),7,143.0,8.0,69.0,1383777.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
141,Los juegos del hambre,(2012),12,142.0,7.2,68.0,914796.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
142,Los tipos malos,(2022),A/i,100.0,6.8,64.0,35942.0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Los vigilantes de la playa,(1989–2001),A,60.0,5.4,NaN,28134.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,167469.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,Mad Max: Furia en la carretera,(2015),16,120.0,8.1,90.0,995557.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
146,Malditos bastardos,(2009),18,153.0,8.3,69.0,1435546.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,59600.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Monster High,(2022 TV Movie),,92.0,4.7,NaN,1507.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
149,Moonfall,(2022),12,130.0,5.1,41.0,75348.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
150,Morbius,(2022),12,104.0,5.2,35.0,115943.0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Mr. Midnight: Cuidado con los monstruos,(2022),18,28.0,5.2,NaN,219.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
152,Ms. Marvel,(2022),7,271.0,6.2,NaN,100283.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,Mundo extraño,(2022),PG,NaN,NaN,NaN,NaN,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61489.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56366.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
156,Naruto,(2002–2007),13,24.0,8.4,NaN,101345.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
157,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125207.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,Night Sky,(2022),14,55.0,7.4,NaN,16834.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
159,Obi-Wan Kenobi,(2022),12,NaN,7.1,NaN,185480.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,One Piece,(1999– ),13,24.0,8.9,NaN,124165.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
