,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
115,Pasajero oculto,(2020),12,83.0,5.0,66.0,27106.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
116,Pearl Harbor,(2001),7,183.0,6.2,44.0,333139.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
117,Platoon,(1986),18,120.0,8.1,92.0,413803.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
118,Pánico nuclear,(2002),13,128.0,6.4,45.0,117026.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
119,Roma,(2005–2007),18,52.0,8.7,NaN,171715.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
120,SEAL Team,(2017– ),12,43.0,7.7,NaN,25888.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
121,Salvar al soldado Ryan,(1998),13,169.0,8.6,91.0,1381055.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
122,Secretos de Estado,(2019),7,112.0,7.3,63.0,48096.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
123,Senderos de gloria,(1957),A,88.0,8.4,90.0,197366.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
124,Sin novedad en el frente,(1930),13,152.0,8.1,91.0,62279.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
125,Sin novedad en el frente,(1979 TV Movie),,123.0,7.1,NaN,9140.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
