,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,H,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,NEWS,O,R,ROMANCE,S,SCI-FI,SHORT,SPORT,T,THRILLER,WESTERN
67,El muelle,(1962),,28.0,8.2,NaN,34008.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
68,El mundo de Craig,(2018– ),TP,30.0,7.4,NaN,2575.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Emily Stripped Naked in Hollywood,(2016),16,10.0,8.4,NaN,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
70,Entering Red,(2019),,12.0,6.0,NaN,494.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
71,Estudios de avena,(2017– ),,20.0,6.4,NaN,2210.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
72,Extraña forma de vida,(2023),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
73,Fallen Tree,(2012 Video),,1.0,6.4,NaN,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
74,Family Feud,(1999– ),,30.0,6.8,NaN,4097.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
75,Farm Sluts,(2003),,17.0,7.8,NaN,356.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
76,Father of the Bride Part 3 (ish),(2020),,26.0,6.9,NaN,1206.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
77,Fire,(2015),,14.0,6.9,NaN,37.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
78,Flapjack,(2008–2010),7,11.0,7.8,NaN,14355.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
79,Frankenweenie,(1984),T,29.0,7.2,NaN,12544.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
80,"Frosty, el muñeco de nieve",(1969 TV Short),,25.0,7.3,NaN,18705.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
81,Furlough,(2020),,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
82,Garfield y la isla pirata,(1985 TV Short),,25.0,8.1,NaN,2012.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
83,Ginî piggu 2: Chiniku no hana,(1985 Video),,42.0,4.8,NaN,4146.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,"God, Sex and Truth",(2018),,19.0,4.3,NaN,915.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
85,Gremlins 3: Dawn of Desmond,(2020 Video),,2.0,6.1,NaN,74.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
86,Guardians of the Galaxy: Cosmic Rewind,(2022),,NaN,8.6,NaN,34.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,Guardians of the Galaxy: Inferno,(2017 Music Video),,4.0,8.0,NaN,1895.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
88,Guinea Pig: Devil's Experiment,(1985 Video),,43.0,3.7,NaN,3860.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
89,Halloween Is Grinch Night,(1977 TV Short),,25.0,6.4,NaN,1242.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
90,Hank the Cowdog,(2020 Podcast Series),,NaN,7.3,NaN,57.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
91,Hierve,(I) (2019),12,22.0,7.5,NaN,1356.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
92,Hiking with Kevin,(2017– ),,18.0,4.6,NaN,185.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
93,Home Movie: The Princess Bride,(2020– ),TP,NaN,7.7,NaN,1308.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
94,Hotel Chevalier,(2007),R,13.0,7.2,NaN,34004.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
95,Hotel Desire,(2011),,38.0,5.7,NaN,3375.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
96,"Ice Age, las desventuras de Scrat",(2022),,4.0,7.3,NaN,1891.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
97,Inside Look: The Assassination of Gianni Versace - American Crime Story,(2017–2018),,3.0,7.7,NaN,9985.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
98,Inside Look: The People v. O.J. Simpson - American Crime Story,(2016),,5.0,8.4,NaN,26406.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
99,It Follows 2 Slowly,(2016),,7.0,4.7,NaN,62.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
100,John Wick: Don't F*#% with John Wick,(2015),,16.0,8.3,NaN,10179.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,Johnny Bravo,(1997–2004),,30.0,7.2,NaN,36525.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
102,Judge Judy,(1996–2021),12,30.0,6.0,NaN,5025.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,Kenobi: A Star Wars Fan Film,(2019),,19.0,7.0,NaN,10525.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
104,Kenzo World,(2016 Video),,4.0,8.1,NaN,2047.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
105,Kick the Cock,(2008),,16.0,3.7,NaN,441.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
106,Kung Fury,(2015),,31.0,8.0,NaN,59900.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
107,La casa de muñecas de Gabby,(2021– ),7,24.0,7.3,NaN,447.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
108,La fonte des neiges,(2009),,28.0,6.2,NaN,807.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,La ley de Milo Murphy,(2016–2019),,12.0,7.6,NaN,2981.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
110,La leyenda de Sleepy Hollow,(1949),,34.0,7.8,NaN,5285.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
111,La maldición de Molly McGee,(2021– ),TP,22.0,7.3,NaN,1109.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
112,La oveja Shaun,(2007–2020),TP,7.0,8.2,NaN,14749.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
113,La sirenita,(1992–1994),7,25.0,6.7,NaN,5263.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
114,Las aventuras de Paddington,(2019– ),TP,NaN,8.5,NaN,403.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
115,Las supernenas,(2016–2023),TP,60.0,3.5,NaN,4635.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
116,Laura Hasn't Slept,(2020),,11.0,6.6,NaN,137.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
117,Learning with Pibby: Apocalypse,(2022),,NaN,8.6,NaN,184.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
118,Lego Star Wars: Cuentos escalofriantes,(2021 TV Short),,44.0,6.1,NaN,2376.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
119,Leyendas de Marvel Studios,(2021– ),12,7.0,6.5,NaN,4467.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
120,Lo extraño de los Johnsons,(2011),,28.0,7.2,NaN,6104.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
121,Lollygag,(2022),,10.0,NaN,NaN,NaN,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
