,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,HISTORY,MYSTERY,O,P,R,ROMANCE,S,SCI-FI,SPORT,T,TALK-SHOW,THRILLER
149,McFarland,(2015),PG,129.0,7.4,60.0,39277.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
150,Me llaman Radio,(2003),A,109.0,6.9,38.0,41420.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
151,Mike,(2022),18,25.0,6.8,NaN,3408.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
152,Million Dollar Baby,(2004),13,132.0,8.1,86.0,685939.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
153,Molly's Game,(2017),16,140.0,7.4,71.0,172229.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154,Moneyball: Rompiendo las reglas,(2011),A,133.0,7.6,87.0,422538.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
155,National Champions,(2021),R,116.0,5.7,52.0,1466.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
156,Next Goal Wins,(2023),PG-13,97.0,NaN,NaN,NaN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
157,Ocho hombres,(1988),,119.0,7.2,71.0,20706.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
158,Océanos de fuego (Hidalgo),(2004),A,136.0,6.7,54.0,82648.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
159,One Tree Hill,(2003–2012),16,60.0,7.7,NaN,80579.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
